job,age,duration
admin.,38.2401185770751,261.8715415019763
blue-collar,39.265837104072396,261.8529411764706
entrepreneur,42.2027027027027,249.2027027027027
housemaid,45.67272727272727,229.66363636363636
management,42.42901234567901,246.7993827160494
retired,60.873493975903614,311.78915662650604
self-employed,40.679245283018865,254.9245283018868
services,38.51399491094148,232.529262086514
student,26.695121951219512,287.1341463414634
technician,38.62228654124457,253.28654124457307
unemployed,39.531531531531535,249.80180180180182
unknown,46.84615384615385,234.4102564102564
